,Unnamed: 0,timestamp,ROC_TK_1300A,ROC_TK_1300C,MOC_TK_1310A,MOC_TK_1310B,MOC_TK_1310C,MTT_TK_301A,MTT_TK_301B,EBA_DATE,C3_Site,C3_Total,C3_avail,%C3_avail
0,0,2022-09-01 00:00:00+00:00,972.6039,114.018021,957.8343,264.9567,108.773659,262.7958,245.82547,2022-09-01,2418.18658,2704.01617,11495.983830000001,19.042367394366195
1,1,2022-09-02 00:00:00+00:00,844.453247,114.650917,1643.74072,269.4713,109.735237,265.035583,249.334335,2022-09-02,2982.051421,3272.035185,10927.964815,23.042501302816902
2,2,2022-09-03 00:00:00+00:00,668.514038,113.720978,1893.48926,270.7731,109.211,265.2205,249.839371,2022-09-03,3055.7083759999996,3347.836269,10852.163731,23.576311753521125
3,3,2022-09-04 00:00:00+00:00,601.3994,113.009857,1539.659,273.6535,109.04306,263.8699,248.723236,2022-09-04,2636.7648169999998,2927.3050359999997,11272.694964,20.614824197183097
4,4,2022-09-05 00:00:00+00:00,637.1517,115.317169,1022.82361,279.773254,110.188667,262.431824,246.623734,2022-09-05,2165.2544000000003,2448.8041219999996,11751.195878,17.245099450704224
5,5,2022-09-06 00:00:00+00:00,697.7394,117.197624,1185.51624,283.507477,110.688065,263.425323,247.485016,2022-09-06,2394.6488059999997,2677.673456,11522.326544,18.856855323943662
6,6,2022-09-07 00:00:00+00:00,662.3323,117.117622,1459.17053,285.119629,111.096252,263.343,247.975479,2022-09-07,2634.8363329999997,2917.940938,11282.059062,20.548879845070424
7,7,2022-09-08 00:00:00+00:00,669.9011,119.276871,1866.95239,288.402069,273.446625,263.501068,240.0976,2022-09-08,3217.9790550000002,3328.8542270000003,10871.145773,23.442635401408456
8,8,2022-09-09 00:00:00+00:00,908.9136,119.693726,1871.1991,290.8602,275.792877,723.3638,241.5215,2022-09-09,3466.459503,4035.8582,10164.1418,28.42153661971831
9,9,2022-09-10 00:00:00+00:00,858.55896,119.01152,2286.27466,556.6744,273.939362,1201.89819,246.1251,2022-09-10,4094.458902,5149.53131,9050.46869,36.264305
10,10,2022-09-11 00:00:00+00:00,775.9094,117.344604,2196.263,785.8931,273.95932,1496.36267,425.255829,2022-09-11,4149.3694239999995,5679.683998999999,8520.316001000001,39.99777464084506
11,11,2022-09-12 00:00:00+00:00,675.8932,115.781784,2011.39038,790.872437,274.3097,1495.823,1153.10461,2022-09-12,3868.247501,6127.083627000001,8072.916372999999,43.14847624647888
12,12,2022-09-13 00:00:00+00:00,755.2017,116.958618,2108.55542,797.4257,274.887451,1492.5708,1871.59106,2022-09-13,4053.0288889999997,7025.344679999999,7174.655320000001,49.474258309859145
13,13,2022-09-14 00:00:00+00:00,511.000061,116.890808,2677.40918,800.7238,275.954529,1491.62817,2614.45313,2022-09-14,4381.978378,8095.214341,6104.785659,57.008551697183094
14,14,2022-09-15 00:00:00+00:00,482.985474,117.303818,2499.5415,1442.04968,275.385681,1586.87634,3220.66,2022-09-15,4817.266153,9232.112994,4967.887006000001,65.01488023943661
15,15,2022-09-16 00:00:00+00:00,467.620361,116.508156,2495.778,638.4985,274.69516,2295.47534,3218.32422,2022-09-16,3993.1001770000003,9115.696421,5084.303578999999,64.19504521830986
16,16,2022-09-17 00:00:00+00:00,468.1746,115.555016,2495.88159,432.855133,273.4146,3011.56616,3217.42334,2022-09-17,3785.880939,9625.900823,4574.099177,67.78803396478874
17,17,2022-09-18 00:00:00+00:00,468.037,114.30172,2497.12646,584.4948,275.036163,3009.51343,3216.133,2022-09-18,3938.9961430000003,9775.304689999999,4424.695310000001,68.84017387323944
18,18,2022-09-19 00:00:00+00:00,468.5256,113.402351,2253.38257,329.660431,276.246979,3004.102,3213.35352,2022-09-19,3441.2179310000006,9269.024121,4930.975879,65.27481775352113
19,19,2022-09-20 00:00:00+00:00,469.2154,113.728333,1939.56592,334.84726,276.7467,3003.51367,3212.639,2022-09-20,3134.103613,8959.78125,5240.21875,63.09705105633803
20,20,2022-09-21 00:00:00+00:00,469.214783,112.867462,2088.74414,339.7628,276.737762,3002.36475,3212.319,2022-09-21,3287.3269469999996,9112.405472999999,5087.594527000001,64.171869528169
21,21,2022-09-22 00:00:00+00:00,470.676,112.965958,2440.05981,344.328247,278.172028,3002.08032,3212.18945,2022-09-22,3646.202043,9469.333827,4730.666173,66.6854494859155
22,22,2022-09-23 00:00:00+00:00,470.537,113.849487,2595.724,347.67746,277.116821,2997.06445,3209.72681,2022-09-23,3804.904768,9620.72972,4579.270280000001,67.75161774647887
23,23,2022-09-24 00:00:00+00:00,470.537,113.524544,2465.38135,572.829468,276.654083,2995.39917,3208.618,2022-09-24,3898.926445,9712.764988,4487.235011999999,68.39975343661972
24,24,2022-09-25 00:00:00+00:00,470.462463,113.585457,2554.255,585.888733,276.60498,2993.47437,3207.83057,2022-09-25,4000.796633,9811.911135999999,4388.088864000001,69.09796574647886
25,25,2022-09-26 00:00:00+00:00,470.676,115.884,2485.95654,594.7777,277.0236,2987.69116,3198.19775,2022-09-26,3944.31784,9737.299149999999,4462.700850000001,68.57252922535211
26,26,2022-09-27 00:00:00+00:00,471.013458,117.22998,2358.804,602.450745,277.993378,2983.444,3184.66821,2022-09-27,3827.4915610000003,9600.380412999999,4599.619587000001,67.60831276760563
27,27,2022-09-28 00:00:00+00:00,472.07,117.087425,2352.39136,742.640869,279.315918,2983.89233,3184.78418,2022-09-28,3963.505572,9735.778739000001,4464.221260999999,68.56182210563381
28,28,2022-09-29 00:00:00+00:00,472.4019,117.081169,2021.24011,1017.75037,278.194458,2983.44531,3184.47778,2022-09-29,3906.668007,9679.315470000001,4520.684529999999,68.16419345070423
29,29,2022-09-30 00:00:00+00:00,472.906,117.0771,2017.07764,1035.46338,278.2729,2983.47852,3184.58643,2022-09-30,3920.79702,9693.51197,4506.48803,68.2641688028169
30,30,2022-10-01 00:00:00+00:00,473.330933,116.028641,2016.56091,1116.4502,277.8587,2985.769,3185.89063,2022-10-01,4000.229384,9778.001672999999,4421.998327000001,68.85916671126759
31,31,2022-10-02 00:00:00+00:00,473.10083,114.919693,2043.36658,511.380951,277.362427,2989.18872,3195.38379,2022-10-02,3420.130481,9212.420871,4987.579129,64.87620331690141
32,32,2022-10-03 00:00:00+00:00,472.209,115.588516,1549.13843,390.7382,277.521423,2984.926,3184.92139,2022-10-03,2805.1955690000004,8581.93302,5618.06698,60.436148028169015
33,33,2022-10-04 00:00:00+00:00,472.675873,116.454437,856.729065,399.074371,278.7425,2982.86938,3183.6106,2022-10-04,2123.676246,7894.959289,6305.040711,55.59830485211268
34,34,2022-10-05 00:00:00+00:00,473.5125,117.066711,415.958221,380.44574,278.628662,2983.148,3184.15845,2022-10-05,1665.611834,7437.222911,6762.777089,52.37480923239437
35,35,2022-10-06 00:00:00+00:00,473.239838,116.267616,783.7227,311.703156,277.9638,2983.86938,3184.61475,2022-10-06,1962.89711,7737.149824,6462.850176,54.486970591549294
36,36,2022-10-07 00:00:00+00:00,472.592651,115.584717,1048.67444,312.934357,278.218048,2982.78955,3183.91821,2022-10-07,2228.004213,8000.909207999999,6199.090792000001,56.34443104225352
37,37,2022-10-08 00:00:00+00:00,473.0163,116.02533,1281.45264,315.7957,278.267853,2982.97974,3184.40356,2022-10-08,2464.5578229999996,8237.64794,5962.352059999999,58.011605211267614
38,38,2022-10-09 00:00:00+00:00,473.093872,115.701279,1273.72021,316.849518,278.015564,2983.86719,3185.19531,2022-10-09,2457.3804429999996,8232.7261,5967.2739,57.97694436619718
39,39,2022-10-10 00:00:00+00:00,472.494934,114.761581,1048.00146,317.646332,277.964172,2985.621,3185.74829,2022-10-10,2230.868479,8009.512016000001,6190.487983999999,56.4050141971831
40,40,2022-10-11 00:00:00+00:00,472.543457,116.971359,1017.37732,322.424835,277.840485,2980.94727,3182.97168,2022-10-11,2207.157456,7976.264562,6223.735438,56.1708771971831
41,41,2022-10-12 00:00:00+00:00,472.9522,118.966522,908.1808,327.103333,278.215363,2974.90869,3179.34521,2022-10-12,2105.418218,7862.490233,6337.509767,55.36964952816901
42,42,2022-10-13 00:00:00+00:00,474.115173,118.372635,572.4716,329.4287,278.608032,2922.42529,3180.80737,2022-10-13,1772.9961400000002,7479.248133000001,6720.751866999999,52.670761500000005
43,43,2022-10-14 00:00:00+00:00,473.938843,116.596306,1032.15076,329.816681,278.950073,2567.5957,3182.95654,2022-10-14,2231.452663,7586.458524,6613.541476,53.42576425352112
44,44,2022-10-15 00:00:00+00:00,473.297119,115.341721,1445.37781,329.352,278.2137,2206.57227,3184.274,2022-10-15,2641.5823499999997,7638.873199,6561.126801,53.794881683098595
45,45,2022-10-16 00:00:00+00:00,472.682953,116.451225,1683.96375,330.537323,277.654419,1903.48718,3182.24658,2022-10-16,2881.28967,7572.917786,6627.082214,53.33040694366197
46,46,2022-10-17 00:00:00+00:00,472.864136,119.32074,1725.7074,336.216644,277.914734,1658.249,3178.11768,2022-10-17,2932.023654,7371.154860000001,6828.845139999999,51.90954126760563
47,47,2022-10-18 00:00:00+00:00,474.383728,120.199257,1715.09131,340.321777,279.4445,1422.61658,3178.943,2022-10-18,2929.440572,7131.356395000001,7068.643604999999,50.2208196830986
48,48,2022-10-19 00:00:00+00:00,474.703918,118.809937,1668.01563,340.171082,279.005768,1186.77747,3181.1167,2022-10-19,2880.706335,6850.784799999999,7349.215200000001,48.24496338028169
49,49,2022-10-20 00:00:00+00:00,473.631775,117.365723,1601.11328,339.5039,278.2195,949.658447,3181.88745,2022-10-20,2809.8341780000005,6545.794852,7654.205148,46.09714684507042
50,50,2022-10-21 00:00:00+00:00,473.226868,117.031776,1528.838,339.861359,278.0726,713.3082,3181.40161,2022-10-21,2737.030603,6236.636037,7963.363963,43.9199720915493
51,51,2022-10-22 00:00:00+00:00,472.985382,116.34301,1309.83777,341.145355,278.148224,713.9946,3181.72974,2022-10-22,2518.459741,6019.692847,8180.307153,42.39220314788733
52,52,2022-10-23 00:00:00+00:00,473.435974,116.062096,1100.99756,343.717957,278.5929,718.0251,3183.08374,2022-10-23,2312.806487,5819.2603309999995,8380.739669,40.98070655633803
53,53,2022-10-24 00:00:00+00:00,473.435974,115.328,1130.53833,345.332672,278.696228,720.782166,3184.63965,2022-10-24,2343.331204,5854.728792,8345.271208,41.230484450704225
54,54,2022-10-25 00:00:00+00:00,473.055481,114.379387,1145.487,347.512115,279.116516,721.488342,3185.59741,2022-10-25,2359.550499,5873.140348,8326.859652,41.36014329577465
55,55,2022-10-26 00:00:00+00:00,473.082977,113.247711,1428.09155,348.206055,278.700165,722.9482,3190.112,2022-10-26,2641.3284580000004,6162.440782000001,8037.559217999999,43.39747029577465
56,56,2022-10-27 00:00:00+00:00,472.1044,112.048706,1665.43237,348.440826,278.0719,722.2188,3203.44727,2022-10-27,2876.098202,6411.643666,7788.356334,45.152420183098585
57,57,2022-10-28 00:00:00+00:00,472.104645,112.39444,1512.91272,349.6174,277.5633,722.997742,3201.8,2022-10-28,2724.5925050000005,6259.432507,7940.567493,44.080510612676065
58,58,2022-10-29 00:00:00+00:00,471.721527,112.208893,1697.16577,350.393433,277.9807,721.7136,3199.74316,2022-10-29,2909.4703230000005,6440.73749,7759.26251,45.35730626760564
59,59,2022-10-30 00:00:00+00:00,472.069763,113.909683,1810.616,353.626038,278.466034,722.8708,3186.28125,2022-10-30,3028.687518,6545.463851,7654.536149,46.09481585211268
60,60,2022-10-31 00:00:00+00:00,472.592133,114.414444,1972.09961,355.7248,277.700958,723.9061,3186.04932,2022-10-31,3192.5319449999997,6710.371963,7489.628037,47.25614058450704
61,61,2022-11-01 00:00:00+00:00,472.4173,113.943123,2155.19287,356.647247,277.832458,725.51,3186.46,2022-11-01,3376.0329979999997,6896.227417,7303.772583,48.564981809859155
62,62,2022-11-02 00:00:00+00:00,571.8628,19.7300549,2223.73853,358.425781,277.763733,725.1902,3186.00757,2022-11-02,3451.5208989000002,7065.224881,7134.775119,49.75510479577464
63,63,2022-11-03 00:00:00+00:00,591.213562,6.641,2254.86279,361.330383,278.204,725.075745,3184.99731,2022-11-03,3492.2517350000003,7117.47979,7082.52021,50.12309711267606
64,64,2022-11-04 00:00:00+00:00,591.6795,6.641,2528.8938,364.3982,278.842773,725.4197,3183.95459,2022-11-04,3770.4552729999996,7394.345789999999,6805.654210000001,52.07285767605633
65,65,2022-11-05 00:00:00+00:00,591.8287,6.641,2599.07861,367.535767,278.261475,726.35376,3183.32935,2022-11-05,3843.3455519999998,7468.126187,6731.873813,52.59243793661972
66,66,2022-11-06 00:00:00+00:00,591.433,6.641,2596.21118,368.576721,277.940765,725.3298,3182.44922,2022-11-06,3840.8026659999996,7463.9999210000005,6736.0000789999995,52.563379725352114
67,67,2022-11-07 00:00:00+00:00,591.179138,814.4112,2393.18335,370.738037,277.991577,725.4584,3182.02466,2022-11-07,4447.503301999999,7262.583585,6937.416415,51.14495482394367
68,68,2022-11-08 00:00:00+00:00,590.73114,2188.28979,1810.69568,373.329071,278.999573,727.3647,3182.7356,2022-11-08,5242.045254,6684.856191000001,7515.143808999999,47.07645204929578
69,69,2022-11-09 00:00:00+00:00,586.912659,2149.415,1703.07361,375.190857,279.119446,728.4136,3183.825,2022-11-09,5093.711571999999,6577.415725999999,7622.584274000001,46.31982905633802
70,70,2022-11-10 00:00:00+00:00,588.030151,610.0035,2038.23755,375.6671,278.7843,727.4229,3183.61743,2022-11-10,3890.7226010000004,6912.975131,7287.024869,48.682923457746476
71,71,2022-11-11 00:00:00+00:00,588.742,9.552,2514.427,377.490082,278.641846,729.693848,3184.701,2022-11-11,3768.852928,7395.05393,6804.94607,52.077844577464795
72,72,2022-11-12 00:00:00+00:00,588.6224,9.552,2380.58057,558.002258,278.69873,733.072266,3186.57324,2022-11-12,3815.455958,7446.850734,6753.149266,52.4426108028169
73,73,2022-11-13 00:00:00+00:00,588.115234,9.552,1641.89807,564.5543,278.118744,734.777039,3203.836,2022-11-13,3082.2383479999994,6733.180643,7466.819357,47.416765091549294
74,74,2022-11-14 00:00:00+00:00,587.7595,9.552,1330.62939,569.8294,277.777039,731.409851,3198.20557,2022-11-14,2775.547329,6417.833711,7782.166289,45.196012049295774
75,75,2022-11-15 00:00:00+00:00,587.58136,9.552,1289.2821,574.1054,278.4487,729.9459,3185.8208,2022-11-15,2738.96956,6366.73556,7833.26444,44.836165915492955
76,76,2022-11-16 00:00:00+00:00,587.701,89.2203445,1396.361,577.411255,277.835876,730.9028,3185.05762,2022-11-16,2928.5294755000004,6477.433675,7722.566325,45.61573010563381
77,77,2022-11-17 00:00:00+00:00,587.3429,350.35,1309.41089,579.109436,277.835876,732.519836,3185.21826,2022-11-17,3104.049102,6393.601322,7806.398678,45.02536142253521
